,diff,Open,High,Low,Close,ma12,ma25,bb1_top,bb1_bottom,bb2_top,bb2_bottom,macd,signal,pDI,mDI,diffDI,dx,adx,separation,tenkan,kijun,senkou1,senkou2,chikou,pK,pD
2010-07-18,,0.05,0.09,0.06,0.09,,,,,,,,,,,,,,,,,,,0.06,,
2010-07-19,-0.009999999999999995,0.09,0.09,0.08,0.08,,,,,,,-0.0007977207977208078,,,,,,,,,,,,0.07,,
2010-07-20,-0.009999999999999995,0.08,0.08,0.07,0.07,,,,,,,-0.0022113456871291626,,,,,,,,,,,,0.07,,
2010-07-21,0.009999999999999995,0.07,0.08,0.07,0.08,,,,,,,-0.0024959652365274115,,,,,,,,,,,,0.07,,
2010-07-22,-0.03,0.08,0.08,0.05,0.05,,,,,,,-0.005083676105867602,,,,,,,,,,,,0.07,,
2010-07-23,0.009999999999999995,0.05,0.07,0.05,0.06,,,,,,,-0.006255430478075807,,,,,,,,,,,,0.07,,
2010-07-24,-0.009999999999999995,0.06,0.06,0.05,0.05,,,,,,,-0.007899905493588502,,,,,,,,,,,,0.07,,
2010-07-25,0.0,0.05,0.06,0.05,0.05,,,,,,,-0.009098284431741308,,,,,,,,,,,,0.07,,
2010-07-26,0.009999999999999995,0.05,0.06,0.05,0.06,,,,,,,-0.009135780358422385,,,,,,,,0.08499999999999999,,,,0.07,-2.0000000000000013,
2010-07-27,0.0,0.06,0.06,0.05,0.06,,,,,,,-0.009061046051879962,-0.005782128293439217,,,,,,,0.08499999999999999,,,,0.07,-2.0000000000000013,
2010-07-28,0.0,0.06,0.06,0.05,0.06,,,,,,,-0.008899233748442106,-0.006682296399074916,,,,,,,0.07500000000000001,,,,0.06,-1.0000000000000013,-1.666666666666668
2010-07-29,0.010000000000000009,0.06,0.07,0.06,0.07,0.06500000000000002,,,,,,-0.007873321160296293,-0.007311404784982375,,,,,,,0.07500000000000001,,,,0.06,0.0,-1.0000000000000009
2010-07-30,-0.010000000000000009,0.07,0.07,0.06,0.06,0.06250000000000003,,,,,,-0.007777539831574684,-0.007898246406654295,,,,,,,0.07,,,,0.06,0.0,-0.2500000000000003
2010-07-31,0.010000000000000009,0.06,0.07,0.06,0.07,0.061666666666666696,,,,,,-0.006816143749737824,-0.008090742811528764,,,,,,,0.065,,,,0.06,1.0,0.25000000000000017
